Type;Datum;Order;Depth;Soil material;Cd;Cr;Cu;Ni;Pb;Zn;ID;Time;FecPrev2;EC;pH;FecPrev;Precipitation ;Humidity;AirTemp;Evapotranspiration;Infiltration;Interflow;Soil moisture;Soil temperature;SurfaceRunoff
D;27.12.2013;17;3;Runoff concentration;0;2.74;10.95;6.16;0;19.45;Runoff concentration_3;401;27.12.2013;0.433;7.63;27.12.2013;0.75625;88.0875;4.275;0.45625;NA;NA;NA;NA;33.875
D;27.12.2013;17;0;Sm1;0.21;1.79;12.4;1.3;2.74;19.95;Sm1_0;401;27.12.2013;1.364;7.44;27.12.2013;0.75625;88.0875;4.275;0.45625;11.15625;1.71875;29.43125;6.74375;19.25
D;27.12.2013;17;0;Sm2;0.25;1.59;11.15;2.47;1.78;16;Sm2_0;401;27.12.2013;1.825;7.97;27.12.2013;0.75625;88.0875;4.275;0.45625;6.5625;0.15625;19.6;6.9625;3.25
D;27.12.2013;17;0;Sm3;0;5.21;12.25;2.37;0;19.9;Sm3_0;401;27.12.2013;1.043;8.79;27.12.2013;0.75625;88.0875;4.275;0.45625;16;0.75;17.80625;7.125;2
D;27.12.2013;17;15;Sm1;0;3.36;17.8;1.97;3.34;19.2;Sm1_15;401;27.12.2013;1.364;7.44;27.12.2013;0.75625;88.0875;4.275;0.45625;11.15625;1.71875;29.43125;6.74375;19.25
D;27.12.2013;17;15;Sm2;0;4.07;27.25;4.92;2.29;32.55;Sm2_15;401;27.12.2013;1.825;7.97;27.12.2013;0.75625;88.0875;4.275;0.45625;6.5625;0.15625;19.6;6.9625;3.25
D;27.12.2013;17;15;Sm3;0;5.15;13.7;1.13;0;14.1;Sm3_15;401;27.12.2013;1.043;8.79;27.12.2013;0.75625;88.0875;4.275;0.45625;16;0.75;17.80625;7.125;2
D;27.12.2013;17;30;Sm1;0.43;3.24;33.7;4.15;4.58;20.05;Sm1_30;401;27.12.2013;1.364;7.44;27.12.2013;0.75625;88.0875;4.275;0.45625;11.15625;1.71875;29.43125;6.74375;19.25
D;27.12.2013;17;30;Sm2;0.32;3.64;16.4;10.01;3.13;10.1;Sm2_30;401;27.12.2013;1.825;7.97;27.12.2013;0.75625;88.0875;4.275;0.45625;6.5625;0.15625;19.6;6.9625;3.25
D;27.12.2013;17;30;Sm3;0;13.42;4.65;6.4;0;14.7;Sm3_30;401;27.12.2013;1.043;8.79;27.12.2013;0.75625;88.0875;4.275;0.45625;16;0.75;17.80625;7.125;2
D;23.01.2014;18;1;Runoff concentration;1.07;4.99;67.65;5.33;9.34;318;Runoff concentration_1;428;23.01.2014;2.22;7.05;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;NA;NA;NA;NA;99.86666667
D;23.01.2014;18;2;Runoff concentration;0.25;3.59;12.55;1.64;0.11;49.15;Runoff concentration_2;428;23.01.2014;1.98;7.49;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;NA;NA;NA;NA;29.73333333
D;23.01.2014;18;3;Runoff concentration;0.26;5.38;38.1;3;3.99;123.85;Runoff concentration_3;428;23.01.2014;4.8;7.25;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;NA;NA;NA;NA;28.13333333
D;23.01.2014;18;0;Sm1;0;4.08;12.05;1.09;0;28.2;Sm1_0;428;23.01.2014;5.51;7.29;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;13.2;1.966666667;29.73333333;5.986666667;27.73333333
D;23.01.2014;18;0;Sm2;0;2.88;8.75;1.5;0.28;21.35;Sm2_0;428;23.01.2014;0.451;8.01;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;6;0.1;19.78;6.253333333;2.533333333
D;23.01.2014;18;0;Sm3;0.02;4.36;17.2;1.16;0.94;43.1;Sm3_0;428;23.01.2014;5.88;8.5;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;14.3;0.4;17.82;6.393333333;1.333333333
D;23.01.2014;18;15;Sm1;0.15;2.99;12.95;1.34;1.17;23.05;Sm1_15;428;23.01.2014;5.51;7.29;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;13.2;1.966666667;29.73333333;5.986666667;27.73333333
D;23.01.2014;18;15;Sm2;0.25;2.31;9.05;2.62;0.58;5.3;Sm2_15;428;23.01.2014;0.451;8.01;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;6;0.1;19.78;6.253333333;2.533333333
D;23.01.2014;18;15;Sm3;0.05;4.25;12.05;2.17;0.72;25.2;Sm3_15;428;23.01.2014;5.88;8.5;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;14.3;0.4;17.82;6.393333333;1.333333333
D;23.01.2014;18;30;Sm1;0.47;1.75;20.9;3.32;2.25;59.55;Sm1_30;428;23.01.2014;5.51;7.29;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;13.2;1.966666667;29.73333333;5.986666667;27.73333333
D;23.01.2014;18;30;Sm2;0.08;3.2;10.15;2.15;0.71;10.05;Sm2_30;428;23.01.2014;0.451;8.01;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;6;0.1;19.78;6.253333333;2.533333333
D;23.01.2014;18;30;Sm3;0.27;3.35;2.95;1.5;1.89;2.4;Sm3_30;428;23.01.2014;5.88;8.5;23.01.2014;0.593333333;88.94666667;1.986666667;0.3;14.3;0.4;17.82;6.393333333;1.333333333
D;20.02.2014;19;1;Runoff concentration;0;4.67;67.95;6.09;1.48;62.75;Runoff concentration_1;456;20.02.2014;2.27;7.85;20.02.2014;0.006666667;78.1;4.926666667;1;NA;NA;NA;NA;5.333333333
D;20.02.2014;19;2;Runoff concentration;0.22;2.96;50.9;4.21;0.9;89.35;Runoff concentration_2;456;20.02.2014;4.29;7.77;20.02.2014;0.006666667;78.1;4.926666667;1;NA;NA;NA;NA;2.933333333
D;20.02.2014;19;3;Runoff concentration;0.16;4.18;42.25;3.18;1.31;77.8;Runoff concentration_3;456;20.02.2014;3.64;7.7;20.02.2014;0.006666667;78.1;4.926666667;1;NA;NA;NA;NA;7.6
D;20.02.2014;19;0;Sm1;0.53;2.84;25.2;3.8;1.18;233.9;Sm1_0;456;20.02.2014;21.2;6.86;20.02.2014;0.006666667;78.1;4.926666667;1;3.766666667;0.066666667;27.11333333;5.393333333;0
D;20.02.2014;19;0;Sm2;0.2;0.71;10.1;1.78;1.67;412.1;Sm2_0;456;20.02.2014;2.26;7.74;20.02.2014;0.006666667;78.1;4.926666667;1;3;0;17.43333333;5.826666667;0
D;20.02.2014;19;0;Sm3;0.29;2.3;19.9;1.89;0.78;38.6;Sm3_0;456;20.02.2014;13.98;8;20.02.2014;0.006666667;78.1;4.926666667;1;5.433333333;0;16.7;5.98;0.133333333
D;20.02.2014;19;15;Sm1;0.53;1.31;11.4;1.73;0.95;109.2;Sm1_15;456;20.02.2014;21.2;6.86;20.02.2014;0.006666667;78.1;4.926666667;1;3.766666667;0.066666667;27.11333333;5.393333333;0
D;20.02.2014;19;15;Sm2;NA;NA;NA;NA;NA;NA;Sm2_15;456;20.02.2014;2.26;7.74;20.02.2014;0.006666667;78.1;4.926666667;1;3;0;17.43333333;5.826666667;0
D;20.02.2014;19;15;Sm3;NA;NA;NA;NA;NA;NA;Sm3_15;456;20.02.2014;13.98;8;20.02.2014;0.006666667;78.1;4.926666667;1;5.433333333;0;16.7;5.98;0.133333333
D;20.02.2014;19;30;Sm1;4.06;0.88;12.65;5.49;0.81;96.65;Sm1_30;456;20.02.2014;21.2;6.86;20.02.2014;0.006666667;78.1;4.926666667;1;3.766666667;0.066666667;27.11333333;5.393333333;0
D;20.02.2014;19;30;Sm2;0.81;1.39;7.8;6.1;1.23;25.9;Sm2_30;456;20.02.2014;2.26;7.74;20.02.2014;0.006666667;78.1;4.926666667;1;3;0;17.43333333;5.826666667;0
D;20.02.2014;19;30;Sm3;0.42;3.54;6.55;4.27;0.24;9.2;Sm3_30;456;20.02.2014;13.98;8;20.02.2014;0.006666667;78.1;4.926666667;1;5.433333333;0;16.7;5.98;0.133333333
D;21.03.2014;20;1;Runoff concentration;0.07;3.53;38.2;2.73;0.71;33.8;Runoff concentration_1;485;21.03.2014;0.31;7.69;21.03.2014;0;71.125;7.9375;1.80625;NA;NA;NA;NA;23.875
D;21.03.2014;20;2;Runoff concentration;0.09;3.44;23.3;1.91;0.45;33.5;Runoff concentration_2;485;21.03.2014;0.322;7.69;21.03.2014;0;71.125;7.9375;1.80625;NA;NA;NA;NA;21.375
D;21.03.2014;20;3;Runoff concentration;0.1;3.62;25.9;2.56;0.48;34.2;Runoff concentration_3;485;21.03.2014;0.328;7.72;21.03.2014;0;71.125;7.9375;1.80625;NA;NA;NA;NA;20
D;21.03.2014;20;0;Sm1;0.13;3.76;22.1;1.99;1.12;30.65;Sm1_0;485;21.03.2014;0.542;7.44;21.03.2014;0;71.125;7.9375;1.80625;8.5625;0.28125;28.13125;8.4625;6.5
D;21.03.2014;20;0;Sm2;0.08;3.6;17.9;1.83;0.45;23.15;Sm2_0;485;21.03.2014;7.34;7.92;21.03.2014;0;71.125;7.9375;1.80625;4.9375;0.09375;18.46875;8.7375;4.75
D;21.03.2014;20;0;Sm3;0.04;4.84;15.7;3.37;0;28.05;Sm3_0;485;21.03.2014;1.045;8.66;21.03.2014;0;71.125;7.9375;1.80625;15.21875;0.34375;16.13125;8.91875;2.625
D;21.03.2014;20;15;Sm1;0.66;3.78;40.95;5.77;4.28;24.65;Sm1_15;485;21.03.2014;0.542;7.44;21.03.2014;0;71.125;7.9375;1.80625;8.5625;0.28125;28.13125;8.4625;6.5
D;21.03.2014;20;15;Sm2;0.3;3.41;22.15;3.84;3.12;22.2;Sm2_15;485;21.03.2014;7.34;7.92;21.03.2014;0;71.125;7.9375;1.80625;4.9375;0.09375;18.46875;8.7375;4.75
D;21.03.2014;20;15;Sm3;0.04;2.54;25.05;2.53;0.76;14.15;Sm3_15;485;21.03.2014;1.045;8.66;21.03.2014;0;71.125;7.9375;1.80625;15.21875;0.34375;16.13125;8.91875;2.625
D;21.03.2014;20;30;Sm1;0.07;3.35;38.55;2.19;2.25;28.45;Sm1_30;485;21.03.2014;0.542;7.44;21.03.2014;0;71.125;7.9375;1.80625;8.5625;0.28125;28.13125;8.4625;6.5
D;21.03.2014;20;30;Sm2;0.53;3.61;20.6;7.78;1.83;42.75;Sm2_30;485;21.03.2014;7.34;7.92;21.03.2014;0;71.125;7.9375;1.80625;4.9375;0.09375;18.46875;8.7375;4.75
D;21.03.2014;20;30;Sm3;0;7.22;9.85;16.32;0;6.5;Sm3_30;485;21.03.2014;1.045;8.66;21.03.2014;0;71.125;7.9375;1.80625;15.21875;0.34375;16.13125;8.91875;2.625
D;15.04.2014;21;1;Runoff concentration;0.15;6.92;37.7;2.46;1.82;94.5;Runoff concentration_1;510;15.04.2014;0.1992;7.19;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;NA;NA;NA;NA;27.69230769
D;15.04.2014;21;2;Runoff concentration;0.18;5.83;19.55;2.43;0.38;67.85;Runoff concentration_2;510;15.04.2014;0.197;7.23;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;NA;NA;NA;NA;23.69230769
D;15.04.2014;21;3;Runoff concentration;0.08;6.28;30.55;3.33;0.52;72.85;Runoff concentration_3;510;15.04.2014;0.257;7.21;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;NA;NA;NA;NA;31.23076923
D;15.04.2014;21;0;Sm1;0.13;5.16;24.6;3.4;0.4;64.8;Sm1_0;510;15.04.2014;0.617;7.29;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;5.807692308;0.230769231;28.1;12.04615385;5.846153846
D;15.04.2014;21;0;Sm2;0.12;5.35;24.55;2.07;0.26;56.65;Sm2_0;510;15.04.2014;0.438;8.31;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;4.846153846;0.076923077;19.15384615;12.40769231;5.692307692
D;15.04.2014;21;0;Sm3;0.11;5.15;21;1.92;0.26;70.15;Sm3_0;510;15.04.2014;0.748;8.46;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;12.92307692;0.346153846;16.23846154;12.47692308;3.076923077
D;15.04.2014;21;15;Sm1;0.13;7.21;51;3.65;2.58;50.1;Sm1_15;510;15.04.2014;0.617;7.29;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;5.807692308;0.230769231;28.1;12.04615385;5.846153846
D;15.04.2014;21;15;Sm2;0.28;7.16;31.85;9.27;2.17;12.5;Sm2_15;510;15.04.2014;0.438;8.31;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;4.846153846;0.076923077;19.15384615;12.40769231;5.692307692
D;15.04.2014;21;15;Sm3;0.13;6.65;24.9;2.53;0.93;30;Sm3_15;510;15.04.2014;0.748;8.46;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;12.92307692;0.346153846;16.23846154;12.47692308;3.076923077
D;15.04.2014;21;30;Sm1;0.18;9.42;94.1;11.74;10.76;56;Sm1_30;510;15.04.2014;0.617;7.29;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;5.807692308;0.230769231;28.1;12.04615385;5.846153846
D;15.04.2014;21;30;Sm2;0.17;2.91;10.1;2.21;0.01;5.9;Sm2_30;510;15.04.2014;0.438;8.31;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;4.846153846;0.076923077;19.15384615;12.40769231;5.692307692
D;15.04.2014;21;30;Sm3;0.29;5.86;7.35;1.74;0.83;6.6;Sm3_30;510;15.04.2014;0.748;8.46;15.04.2014;1.538461538;72.91538462;10.43076923;2.246153846;12.92307692;0.346153846;16.23846154;12.47692308;3.076923077
D;15.05.2014;22;1;Runoff concentration;0.15;4.51;45.35;2.15;2.29;25.45;Runoff concentration_1;540;15.05.2014;0.1113;6.89;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;NA;NA;NA;NA;50.22222222
D;15.05.2014;22;2;Runoff concentration;0.19;2.84;12.05;1.15;0.64;28.25;Runoff concentration_2;540;15.05.2014;0.121;7;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;NA;NA;NA;NA;32.22222222
D;15.05.2014;22;3;Runoff concentration;0.12;5.58;6.05;2.64;1.26;3.15;Runoff concentration_3;540;15.05.2014;0.1337;6.87;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;NA;NA;NA;NA;60
D;15.05.2014;22;0;Sm1;0.06;2.33;17.85;1.18;0.58;31.65;Sm1_0;540;15.05.2014;0.429;7.21;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;9.027777778;0.444444444;27.63333333;13.89444444;3.444444444
D;15.05.2014;22;0;Sm2;0;8.14;25.4;10.73;2.06;6.4;Sm2_0;540;15.05.2014;0.784;7.82;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;10.08333333;0.222222222;18.72777778;14.35555556;5.666666667
D;15.05.2014;22;0;Sm3;0.12;4.81;19.65;1.87;1.31;51.15;Sm3_0;540;15.05.2014;0.422;8.35;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;17.91666667;0.055555556;15.53333333;14.51666667;0.111111111
D;15.05.2014;22;15;Sm1;0.29;2.85;12.25;2.85;1.25;4.45;Sm1_15;540;15.05.2014;0.429;7.21;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;9.027777778;0.444444444;27.63333333;13.89444444;3.444444444
D;15.05.2014;22;15;Sm2;0.16;5.08;21.45;2.79;0.48;15.1;Sm2_15;540;15.05.2014;0.784;7.82;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;10.08333333;0.222222222;18.72777778;14.35555556;5.666666667
D;15.05.2014;22;15;Sm3;0.26;3.49;18.2;1.54;0.92;42.45;Sm3_15;540;15.05.2014;0.422;8.35;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;17.91666667;0.055555556;15.53333333;14.51666667;0.111111111
D;15.05.2014;22;30;Sm1;0.33;12.7;118.05;7.47;18.95;43.3;Sm1_30;540;15.05.2014;0.429;7.21;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;9.027777778;0.444444444;27.63333333;13.89444444;3.444444444
D;15.05.2014;22;30;Sm2;0.07;6.34;21.05;1.97;1.3;47;Sm2_30;540;15.05.2014;0.784;7.82;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;10.08333333;0.222222222;18.72777778;14.35555556;5.666666667
D;15.05.2014;22;30;Sm3;0.21;4.73;18;1.47;0.75;49.3;Sm3_30;540;15.05.2014;0.422;8.35;15.05.2014;1.688888889;70.72222222;11.76666667;2.733333333;17.91666667;0.055555556;15.53333333;14.51666667;0.111111111
D;13.06.2014;23;1;Runoff concentration;1.83;10.15;33.4;3.31;0;51.4;Runoff concentration_1;569;13.06.2014;0.1582;7.1;13.06.2014;0.45625;66.125;17.625;4.18125;NA;NA;NA;NA;4
D;13.06.2014;23;2;Runoff concentration;1.18;5.84;35.9;3.8;0.56;58.65;Runoff concentration_2;569;13.06.2014;1.743;7.09;13.06.2014;0.45625;66.125;17.625;4.18125;NA;NA;NA;NA;7.75
D;13.06.2014;23;3;Runoff concentration;0.85;6.22;42.4;4.32;1.2;81.05;Runoff concentration_3;569;13.06.2014;0.213;7.18;13.06.2014;0.45625;66.125;17.625;4.18125;NA;NA;NA;NA;13
D;13.06.2014;23;0;Sm1;0.49;15.03;45.7;4.97;0;50.15;Sm1_0;569;13.06.2014;0.25;7.27;13.06.2014;0.45625;66.125;17.625;4.18125;2.40625;0.0625;25.23125;18.175;0.125
D;13.06.2014;23;0;Sm2;0.16;13.31;26.6;5.39;0;47.85;Sm2_0;569;13.06.2014;0.514;7.97;13.06.2014;0.45625;66.125;17.625;4.18125;2.5625;0.03125;16.4875;18.8125;0.375
D;13.06.2014;23;0;Sm3;NA;NA;NA;NA;NA;NA;Sm3_0;569;13.06.2014;0.358;7.95;13.06.2014;0.45625;66.125;17.625;4.18125;3.875;0;13.1875;19.09375;0
D;13.06.2014;23;15;Sm1;0.34;4.99;35.85;1.84;0.97;19.9;Sm1_15;569;13.06.2014;0.25;7.27;13.06.2014;0.45625;66.125;17.625;4.18125;2.40625;0.0625;25.23125;18.175;0.125
D;13.06.2014;23;15;Sm2;2.15;3.72;14.45;6.78;0.14;6;Sm2_15;569;13.06.2014;0.514;7.97;13.06.2014;0.45625;66.125;17.625;4.18125;2.5625;0.03125;16.4875;18.8125;0.375
D;13.06.2014;23;15;Sm3;NA;NA;NA;NA;NA;NA;Sm3_15;569;13.06.2014;0.358;7.95;13.06.2014;0.45625;66.125;17.625;4.18125;3.875;0;13.1875;19.09375;0
D;13.06.2014;23;30;Sm1;0;5.06;73.45;5.7;12.93;16.13;Sm1_30;569;13.06.2014;0.25;7.27;13.06.2014;0.45625;66.125;17.625;4.18125;2.40625;0.0625;25.23125;18.175;0.125
D;13.06.2014;23;30;Sm2;1.41;5.23;16.85;6.6;1.8;7.9;Sm2_30;569;13.06.2014;0.514;7.97;13.06.2014;0.45625;66.125;17.625;4.18125;2.5625;0.03125;16.4875;18.8125;0.375
D;13.06.2014;23;30;Sm3;1.34;7.35;5.75;4.12;1.03;2.9;Sm3_30;569;13.06.2014;0.358;7.95;13.06.2014;0.45625;66.125;17.625;4.18125;3.875;0;13.1875;19.09375;0
D;11.07.2014;24;1;Runoff concentration;0.12;5.9;11.25;0.89;0;28.3;Runoff concentration_1;597;11.07.2014;0.0727;6.99;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;NA;NA;NA;NA;117.4545455
D;11.07.2014;24;2;Runoff concentration;0.15;4.84;14.4;1.09;0.8;26.7;Runoff concentration_2;597;11.07.2014;0.0718;6.87;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;NA;NA;NA;NA;68.54545455
D;11.07.2014;24;3;Runoff concentration;0.02;5.25;21.35;1.48;0.16;38.3;Runoff concentration_3;597;11.07.2014;0.0928;6.72;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;NA;NA;NA;NA;84.54545455
D;11.07.2014;24;0;Sm1;0.03;4.86;15.25;1.12;0.9;30.05;Sm1_0;597;11.07.2014;0.155;6.81;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;13.31818182;1.181818182;24.04545455;20.01818182;31.63636364
D;11.07.2014;24;0;Sm2;0.04;5.15;13.35;1.23;0;26.95;Sm2_0;597;11.07.2014;0.347;7.48;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;10.27272727;0.272727273;16.09090909;20.60909091;30.36363636
D;11.07.2014;24;0;Sm3;0.02;4.64;12.85;0.66;0.03;17.4;Sm3_0;597;11.07.2014;0.22;7.67;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;28.54545455;0.545454545;14.48181818;20.97272727;12
D;11.07.2014;24;15;Sm1;0.08;4.55;25.1;1.66;0.3;18.75;Sm1_15;597;11.07.2014;0.155;6.81;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;13.31818182;1.181818182;24.04545455;20.01818182;31.63636364
D;11.07.2014;24;15;Sm2;0.01;3.02;12.6;4.52;0;5.05;Sm2_15;597;11.07.2014;0.347;7.48;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;10.27272727;0.272727273;16.09090909;20.60909091;30.36363636
D;11.07.2014;24;15;Sm3;0.18;4.02;25.05;2.02;0;12.6;Sm3_15;597;11.07.2014;0.22;7.67;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;28.54545455;0.545454545;14.48181818;20.97272727;12
D;11.07.2014;24;30;Sm1;0.22;12.66;78.4;5.88;15.9;37;Sm1_30;597;11.07.2014;0.155;6.81;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;13.31818182;1.181818182;24.04545455;20.01818182;31.63636364
D;11.07.2014;24;30;Sm2;0.18;6.62;18.3;5.54;3.88;10.35;Sm2_30;597;11.07.2014;0.347;7.48;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;10.27272727;0.272727273;16.09090909;20.60909091;30.36363636
D;11.07.2014;24;30;Sm3;0.12;3.98;18.05;2.75;0.43;10.7;Sm3_30;597;11.07.2014;0.22;7.67;11.07.2014;4.063636364;70.85454545;20.05454545;4.081818182;28.54545455;0.545454545;14.48181818;20.97272727;12
D;05.08.2014;25;1;Runoff concentration;0.06;2.93;10;1.11;0;28.7;Runoff concentration_1;622;05.08.2014;0.0602;6.68;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;NA;NA;NA;NA;102.1538462
D;05.08.2014;25;2;Runoff concentration;0.08;4.88;10.95;1.02;0.33;23.3;Runoff concentration_2;622;05.08.2014;0.0787;6.74;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;NA;NA;NA;NA;68.61538462
D;05.08.2014;25;3;Runoff concentration;0.11;6.84;15.95;1.63;0;42.45;Runoff concentration_3;622;05.08.2014;0.098;6.77;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;NA;NA;NA;NA;97.53846154
D;05.08.2014;25;0;Sm1;0.04;6.8;10.35;0.71;0;29.25;Sm1_0;622;05.08.2014;0.179;6.61;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;13.42307692;0.807692308;26.15384615;21.50769231;23.07692308
D;05.08.2014;25;0;Sm2;0.1;5.22;9.55;1.03;0.7;33.15;Sm2_0;622;05.08.2014;0.356;7.61;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;12.69230769;0.269230769;18.46153846;21.91538462;19.38461538
D;05.08.2014;25;0;Sm3;0.19;5.93;5.55;1.28;0.13;31.95;Sm3_0;622;05.08.2014;0.262;7.52;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;26.88461538;0.269230769;15.5;22.26923077;11.07692308
D;05.08.2014;25;15;Sm1;0.18;5.73;30.25;1.69;1.96;23.8;Sm1_15;622;05.08.2014;0.179;6.61;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;13.42307692;0.807692308;26.15384615;21.50769231;23.07692308
D;05.08.2014;25;15;Sm2;0.17;3.58;13.9;2.23;0.04;6;Sm2_15;622;05.08.2014;0.356;7.61;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;12.69230769;0.269230769;18.46153846;21.91538462;19.38461538
D;05.08.2014;25;15;Sm3;0.18;6.43;13.05;1.9;0.08;5.95;Sm3_15;622;05.08.2014;0.262;7.52;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;26.88461538;0.269230769;15.5;22.26923077;11.07692308
D;05.08.2014;25;30;Sm1;0.13;15.25;84.05;6.42;19.44;42.95;Sm1_30;622;05.08.2014;0.179;6.61;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;13.42307692;0.807692308;26.15384615;21.50769231;23.07692308
D;05.08.2014;25;30;Sm2;0.23;4.2;11.6;3.48;1.75;3.75;Sm2_30;622;05.08.2014;0.356;7.61;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;12.69230769;0.269230769;18.46153846;21.91538462;19.38461538
D;05.08.2014;25;30;Sm3;0.18;3.6;4.2;1.81;0.61;1.35;Sm3_30;622;05.08.2014;0.262;7.52;05.08.2014;4.307692308;79.66923077;21.06153846;3.392307692;26.88461538;0.269230769;15.5;22.26923077;11.07692308
D;05.09.2014;26;1;Runoff concentration;0.03;5.04;35.6;1.88;3.99;91.8;Runoff concentration_1;653;05.09.2014;0.0956;7.41;05.09.2014;0.3625;75.2125;15.2375;2.6;NA;NA;NA;NA;0.25
D;05.09.2014;26;2;Runoff concentration;0.05;4.29;19.15;1.55;0.19;31.5;Runoff concentration_2;653;05.09.2014;0.143;7.7;05.09.2014;0.3625;75.2125;15.2375;2.6;NA;NA;NA;NA;4.375
D;05.09.2014;26;3;Runoff concentration;0.07;6.21;25.6;1.93;0.37;54.15;Runoff concentration_3;653;05.09.2014;1.523;7.51;05.09.2014;0.3625;75.2125;15.2375;2.6;NA;NA;NA;NA;13.25
D;05.09.2014;26;0;Sm1;NA;NA;NA;NA;NA;NA;Sm1_0;653;05.09.2014;0.1952;7.7;05.09.2014;0.3625;75.2125;15.2375;2.6;0.90625;0;26.88125;16.40625;0
D;05.09.2014;26;0;Sm2;NA;NA;NA;NA;NA;NA;Sm2_0;653;05.09.2014;0.343;7.98;05.09.2014;0.3625;75.2125;15.2375;2.6;1.625;0;15.875;16.73125;0
D;05.09.2014;26;0;Sm3;NA;NA;NA;NA;NA;NA;Sm3_0;653;05.09.2014;0.242;7.85;05.09.2014;0.3625;75.2125;15.2375;2.6;1.59375;0;14.20625;16.85;0
D;05.09.2014;26;15;Sm1;NA;NA;NA;NA;NA;NA;Sm1_15;653;05.09.2014;0.1952;7.7;05.09.2014;0.3625;75.2125;15.2375;2.6;0.90625;0;26.88125;16.40625;0
D;05.09.2014;26;15;Sm2;NA;NA;NA;NA;NA;NA;Sm2_15;653;05.09.2014;0.343;7.98;05.09.2014;0.3625;75.2125;15.2375;2.6;1.625;0;15.875;16.73125;0
D;05.09.2014;26;15;Sm3;NA;NA;NA;NA;NA;NA;Sm3_15;653;05.09.2014;0.242;7.85;05.09.2014;0.3625;75.2125;15.2375;2.6;1.59375;0;14.20625;16.85;0
D;05.09.2014;26;30;Sm1;0.09;7.01;73.65;4.47;11.63;30.2;Sm1_30;653;05.09.2014;0.1952;7.7;05.09.2014;0.3625;75.2125;15.2375;2.6;0.90625;0;26.88125;16.40625;0
D;05.09.2014;26;30;Sm2;0.1;2.83;3.35;2.07;0;0.45;Sm2_30;653;05.09.2014;0.343;7.98;05.09.2014;0.3625;75.2125;15.2375;2.6;1.625;0;15.875;16.73125;0
D;05.09.2014;26;30;Sm3;0.1;3.03;0.95;1.81;0.29;0.7;Sm3_30;653;05.09.2014;0.242;7.85;05.09.2014;0.3625;75.2125;15.2375;2.6;1.59375;0;14.20625;16.85;0
